ID,Commodity_Classification,WholeSale,Date
Kiambu_Week_1,Dry_White_Maize,46.111111111111114,2025-12-29
Kiambu_Week_52,Dry_White_Maize,45.0,2025-12-22
Kirinyaga_Week_1,Dry_White_Maize,47.22222222222222,2025-12-29
Kirinyaga_Week_52,Dry_White_Maize,46.666666666666664,2025-12-22
Mombasa_Week_1,Dry_White_Maize,41.111111111111114,2025-12-29
Mombasa_Week_52,Dry_White_Maize,41.111111111111114,2025-12-22
Nairobi_Week_1,Dry_White_Maize,45.138888888888886,2025-12-29
Nairobi_Week_52,Dry_White_Maize,43.333333333333336,2025-12-22
Uasin-Gishu_Week_1,Dry_White_Maize,41.55555555555556,2025-12-29
Uasin-Gishu_Week_52,Dry_White_Maize,42.44444444444444,2025-12-22
